RS,Na-Na (Small),Na-Cl (Small),Cl-Cl (Small),RL,Na-Na (Large),Na-Cl (Large),Cl-Cl (Large)
8.645,1.060165995,0.927435663,1.064871305,,,,
8.715,1.043432446,0.937568227,1.044490977,,,,
8.785,1.027007126,0.948829744,1.023188527,,,,
8.855,1.019830047,0.967140642,1.009162333,,,,
8.925,1.008467945,0.983587248,0.995247624,,,,
8.995,0.997842093,1.000529784,0.977558559,,,,
9.065,0.980881931,1.012843609,0.965090643,,,,
9.135,0.971901307,1.025726961,0.953014681,,,,
9.205,0.960207643,1.04214374,0.93984077,,,,
9.275,0.950197862,1.052838401,0.930014668,,,,
9.345,0.940000645,1.064727523,0.918580438,,,,
9.415,0.934954903,1.073822158,0.909327689,,,,
9.485,0.928249824,1.085311863,0.902729088,,,,
9.555,0.923741529,1.092895818,0.890675918,,,,
9.625,0.914989083,1.097333367,0.890859986,,,,
9.695,0.907489116,1.09855875,0.886072859,,,,
9.765,0.908074872,1.098676862,0.882486737,,,,
9.835,0.905019235,1.099039912,0.882275287,,,,
9.905,0.913758451,1.096521127,0.884099573,,,,
9.975,0.914389154,1.092963123,0.887500803,,,,
10.045,0.913214564,1.089050388,0.893593764,,,,
10.115,0.923606325,1.083086588,0.904361829,,,,
10.185,0.926204955,1.077000693,0.912629229,,,,
10.255,0.934675539,1.06908123,0.917370809,,,,
10.325,0.942316509,1.057120887,0.926976374,,,,
10.395,0.933997292,1.048819002,0.928483093,,,,
10.465,0.941825931,1.043404604,0.941903713,,,,
10.535,0.947372817,1.031118117,0.945843115,,,,
10.605,0.953801348,1.021976736,0.95903687,,,,
10.675,0.955155579,1.010406315,0.961649118,,,,
10.745,0.969346916,0.999664124,0.971112554,,,,
10.815,0.975412316,0.991928703,0.98341672,,,,
10.885,0.998730244,0.982324111,1.005922159,,,,
10.955,1.007624341,0.9759616,1.010133189,,,,
11.025,1.01305245,0.971405622,1.02159522,,,,
11.095,1.034127816,0.966115217,1.037105852,,,,
