RS,U-U (Small),U-Cl (Small),Cl-Cl (Small),RL,U-U (Large),U-Cl (Large),Cl-Cl (Large)
9.835,0.845096865,1.034827262,0.970924568,,,,
9.905,0.850524113,1.030208897,0.972523812,,,,
9.975,0.856636982,1.02747463,0.976282358,,,,
10.045,0.864485441,1.024017614,0.979081868,,,,
10.115,0.875714882,1.017218028,0.982953456,,,,
10.185,0.887916945,1.011166326,0.986119962,,,,
10.255,0.903005397,1.00865124,0.988271554,,,,
10.325,0.899563808,1.008310879,0.985021979,,,,
10.395,0.921787648,1.009952468,0.989524739,,,,
10.465,0.950544031,1.004983551,0.995157966,,,,
10.535,0.982934255,1.003415811,1.006689671,,,,
10.605,0.98500763,0.999037832,1.010986184,,,,
10.675,0.995453002,0.992900458,1.01747945,,,,
10.745,1.026834266,0.992069759,1.025050415,,,,
10.815,1.085154738,0.987105837,1.04140053,,,,
10.885,1.120104842,0.986607648,1.045564314,,,,
10.955,1.104703396,0.986143809,1.042473577,,,,
11.025,1.146769875,0.981978447,1.047012215,,,,
11.095,1.154587747,0.978330601,1.050053374,,,,
11.165,1.13872798,0.978793781,1.04121403,,,,
11.235,1.176814226,0.978822085,1.049204499,,,,
11.305,1.134614258,0.978121743,1.035774878,,,,
11.375,1.13555677,0.976991008,1.031878262,,,,
11.445,1.117536594,0.976345408,1.026920965,,,,
11.515,1.123321925,0.978289812,1.029491439,,,,
11.585,1.049349224,0.979938194,1.004194648,,,,
11.655,1.085903355,0.977088334,1.007508466,,,,
11.725,1.052324666,0.975811008,0.999288498,,,,
11.795,1.037896444,0.979349054,0.994344095,,,,
11.865,1.029146693,0.978534361,0.993151653,,,,
11.935,1.049828843,0.979212632,0.995369018,,,,
12.005,1.075911118,0.982367783,1.00622022,,,,
12.075,1.029732875,0.985675048,0.988585917,,,,
12.145,1.027421393,0.986398482,0.988770253,,,,
12.215,1.03387405,0.990264944,0.988844647,,,,
12.285,1.007385347,0.995023052,0.979447068,,,,
12.355,0.9984328,0.995935977,0.976782194,,,,
12.425,0.988655746,0.999734307,0.97035645,,,,
12.495,1.003688546,1.006062267,0.983376422,,,,
12.565,0.985110812,1.008095352,0.979658996,,,,
12.635,0.984227016,1.014064449,0.979244889,,,,
12.705,0.99166393,1.014917326,0.981847652,,,,
12.775,0.993183573,1.014413635,0.985214691,,,,
12.845,0.9883497,1.018660897,0.987823402,,,,
12.915,0.982106235,1.019707603,0.985729661,,,,
12.985,0.980101949,1.021113378,0.987583698,,,,
13.055,0.98929665,1.02165044,0.990866203,,,,
13.125,0.982549336,1.022648687,0.990665634,,,,
13.195,1.004413892,1.022036223,0.998631821,,,,
13.265,0.990282826,1.022489733,1.001366555,,,,
13.335,0.971502534,1.022326497,1.002829057,,,,
13.405,0.970792275,1.025239828,1.001216943,,,,
13.475,0.978832296,1.022891175,1.008048302,,,,
13.545,0.952325017,1.018803975,1.002083438,,,,
13.615,0.93275007,1.016796655,0.995142463,,,,
13.685,0.933823869,1.015858465,0.998119484,,,,
13.755,0.936831819,1.012574128,1.000290521,,,,
13.825,0.940775283,1.011339477,1.001602812,,,,
13.895,0.951347853,1.006628916,1.005452298,,,,
13.965,0.95053454,1.002882691,1.007767528,,,,
