time (ps),Lx,Ly,Lz
0.398,13.88565171,17.6952262,14.79321249
0.4,13.88888814,17.69593728,14.79615345
0.402,13.89208343,17.6960042,14.79879302
0.404,13.89462992,17.6962977,14.80103955
0.406,13.89681029,17.69665452,14.80345935
0.408,13.89893591,17.69720003,14.80576817
0.41,13.90093807,17.69771489,14.80781031
0.412,13.90299889,17.69820409,14.80983312
0.414,13.9050988,17.69860636,14.81178865
0.416,13.90711788,17.69883438,14.81383833
0.418,13.90898149,17.69923178,14.81538378
0.42,13.91046223,17.69995421,14.81673316
0.422,13.91219235,17.70079335,14.81792408
0.424,13.91374048,17.70141236,14.81897252
0.426,13.91502271,17.70211443,14.81996453
0.428,13.91593637,17.70313101,14.82074964
0.43,13.9168011,17.70412254,14.82115542
0.432,13.91747406,17.70537974,14.82119336
0.434,13.91786958,17.70653914,14.82109652
0.436,13.91841877,17.70757257,14.82070223
0.438,13.91885344,17.70831191,14.81997918
0.44,13.91970423,17.70930022,14.81865009
0.442,13.92069415,17.71049776,14.8172764
0.444,13.92149335,17.71135651,14.81586156
0.446,13.9221382,17.71220492,14.81461087
0.448,13.92289546,17.71327594,14.81361395
0.45,13.92381298,17.71418948,14.81239207
0.452,13.92483312,17.71534007,14.81078113
0.454,13.92560443,17.71642808,14.80926317
0.456,13.9263258,17.71746242,14.8077866
0.458,13.92702901,17.71836733,14.80607947
0.46,13.92786463,17.71919973,14.80437519
0.462,13.92878939,17.71969542,14.80198874
0.464,13.92974091,17.72017634,14.79961109
0.466,13.93101035,17.72062691,14.79726162
0.468,13.93232581,17.7212462,14.79476404
0.47,13.9334955,17.72188785,14.79237393
0.472,13.93460256,17.72257328,14.79023737
0.474,13.93543955,17.72330881,14.78786589
0.476,13.93628652,17.72396965,14.78541943
0.478,13.93725834,17.72444511,14.78301743
0.48,13.93851447,17.72478176,14.78074973
0.482,13.93974855,17.72514829,14.77886144
0.484,13.9408465,17.72560858,14.7770716
0.486,13.94190902,17.72575794,14.77517041
0.488,13.94281409,17.72581783,14.77360965
0.49,13.94387046,17.72601201,14.77209936
0.492,13.94473504,17.72622366,14.77056488
0.494,13.94552314,17.72604044,14.76913105
0.496,13.94633373,17.72614028,14.76748372
0.498,13.94701905,17.72632467,14.76575919
0.5,13.94750504,17.72601738,14.76401695
0.502,13.94814856,17.72581253,14.7622749
0.504,13.94906507,17.72580661,14.76076336
0.506,13.94987934,17.72602437,14.75922228
0.508,13.95045789,17.7262585,14.75792827
0.51,13.95081819,17.72650988,14.7566726
0.512,13.9509837,17.7266295,14.75532205
0.514,13.95131984,17.72687716,14.7537407
0.516,13.95157964,17.72676094,14.75205446
0.518,13.95209458,17.72662587,14.75030954
0.52,13.95281304,17.72638402,14.74851027
0.522,13.95353095,17.72578623,14.7468599
0.524,13.95379532,17.72538248,14.74516835
0.526,13.95381889,17.72494546,14.74364236
0.528,13.95380504,17.72447066,14.74224005
0.53,13.95342637,17.72400904,14.74113512
0.532,13.95322973,17.72340074,14.73994913
0.534,13.95308373,17.72297318,14.73873546
0.536,13.95266835,17.72275838,14.73743962
0.538,13.95231129,17.72236738,14.73640466
0.54,13.95165597,17.72201968,14.73518675
0.542,13.95146532,17.72155293,14.7341198
0.544,13.95084449,17.72115622,14.73315572
0.546,13.95028864,17.72055576,14.73260274
0.548,13.94950145,17.71982777,14.73207074
0.55,13.94861811,17.71914378,14.73163961
0.552,13.94749542,17.71825072,14.73160564
0.554,13.94678641,17.71722247,14.73129119
0.556,13.94588294,17.71608113,14.73075573
0.558,13.94484826,17.71480445,14.73037233
0.56,13.94363303,17.71367405,14.72994462
0.562,13.94248205,17.71244086,14.72976795
0.564,13.94108846,17.71105168,14.7293759
0.566,13.93939383,17.70959174,14.72884175
0.568,13.93768055,17.70818499,14.72851464
0.57,13.93584388,17.70658613,14.72817561
0.572,13.93397213,17.70519581,14.7279842
0.574,13.93246328,17.70355306,14.72774919
0.576,13.93077501,17.70184234,14.72757717
0.578,13.92894851,17.70017695,14.72758356
0.58,13.92687554,17.69902026,14.72762357
0.582,13.92486195,17.69767064,14.72783552
0.584,13.92243019,17.69645418,14.72835293
0.586,13.91991741,17.69551056,14.72870445
0.588,13.91733989,17.69451183,14.72901839
0.59,13.91447354,17.6933423,14.72970724
0.592,13.91159644,17.69213341,14.73033168
0.594,13.90863649,17.69085155,14.73101677
0.596,13.90577942,17.68937407,14.73189797
0.598,13.90297625,17.68791519,14.73280598
0.6,13.89990248,17.68664692,14.73408658
0.602,13.89706845,17.68552844,14.73537336
0.604,13.894434,17.68462009,14.7368327
0.606,13.89224782,17.68372902,14.73857722
0.608,13.89041271,17.68338812,14.74062667
0.61,13.88855275,17.68335033,14.74255349
0.612,13.88674032,17.68346248,14.7445578
0.614,13.88501079,17.68369398,14.74645702
0.616,13.88345283,17.68397031,14.74863281
0.618,13.88215628,17.68450971,14.75091982
0.62,13.88122664,17.68482735,14.7533964
0.622,13.88043345,17.68491351,14.75559842
0.624,13.87966224,17.68494435,14.7576883
0.626,13.8790866,17.68520188,14.75994712
0.628,13.87869126,17.6858483,14.76271053
0.63,13.87822964,17.68638732,14.76517878
0.632,13.87790197,17.68702093,14.7677949
0.634,13.87729379,17.68755224,14.77032702
0.636,13.87674998,17.68831344,14.77290499
0.638,13.87615969,17.68895817,14.77567178
0.64,13.87566299,17.68969396,14.778542
0.642,13.87536311,17.69039914,14.78167729
0.644,13.87508805,17.69150724,14.78494714
0.646,13.87491073,17.69269618,14.78803366
0.648,13.87481091,17.69401624,14.79080285
0.65,13.87490122,17.69552437,14.79359433
0.652,13.87532228,17.69708746,14.79627002
0.654,13.87573501,17.69875356,14.79896934
0.656,13.87632748,17.70061194,14.80128938
0.658,13.87693579,17.70238037,14.80354371
0.66,13.87775943,17.70438426,14.80611439
0.662,13.87838454,17.70663483,14.80885563
0.664,13.87889456,17.70916382,14.81151284
0.666,13.87929065,17.71126333,14.81363446
0.668,13.87958637,17.71377208,14.81567152
0.67,13.88026712,17.71644081,14.81733824
0.672,13.88077157,17.71895599,14.81900863
0.674,13.8809991,17.72166213,14.82085899
0.676,13.88133257,17.72454295,14.82287675
0.678,13.88168281,17.72736306,14.82454994
0.68,13.88232473,17.72997632,14.82604456
0.682,13.88279192,17.7323401,14.82721631
0.684,13.88321441,17.73468302,14.82833789
0.686,13.88382241,17.73696438,14.82934836
0.688,13.88418429,17.73880257,14.83016325
0.69,13.88413736,17.74082336,14.83067019
0.692,13.88403776,17.74282502,14.83066701
0.694,13.8833654,17.7447106,14.8303447
0.696,13.88272539,17.7469528,14.82972604
0.698,13.88254746,17.7493238,14.82883888
0.7,13.88245103,17.75169288,14.82769254
0.702,13.88240489,17.75376444,14.82649455
0.704,13.88211252,17.75593002,14.82525355
0.706,13.88199583,17.75795228,14.82381028
0.708,13.88168402,17.7600352,14.82249999
0.71,13.88132795,17.76199871,14.82102855
0.712,13.88063096,17.76380865,14.81926795
0.714,13.87972772,17.76534031,14.81724393
0.716,13.87879801,17.76691135,14.81505659
0.718,13.87780567,17.76857356,14.81264525
0.72,13.87679653,17.77018191,14.81008139
0.722,13.87595694,17.77203671,14.80762298
0.724,13.87487674,17.77348894,14.8050409
0.726,13.87373051,17.77499716,14.80237874
0.728,13.87291958,17.77638625,14.8000469
0.73,13.87222157,17.77776821,14.79752841
0.732,13.87147728,17.77874089,14.79494626
0.734,13.87048817,17.77980726,14.79219492
0.736,13.86938445,17.78118424,14.78917872
0.738,13.8683594,17.78231438,14.78586348
0.74,13.8674338,17.78326936,14.78266567
0.742,13.86686776,17.78423343,14.77952275
0.744,13.86614913,17.78479449,14.77638218
0.746,13.86568609,17.78533861,14.77321204
0.748,13.86527374,17.78619122,14.7698277
0.75,13.86480708,17.78690692,14.76663447
0.752,13.8640234,17.78773119,14.76368514
0.754,13.86324712,17.78906997,14.7611165
0.756,13.86222186,17.7902204,14.75890216
0.758,13.86133047,17.79109509,14.75631351
0.76,13.86042368,17.7922855,14.75378266
0.762,13.85938572,17.79346496,14.75143032
0.764,13.8583095,17.7946005,14.74903228
0.766,13.85719724,17.79555012,14.74679318
0.768,13.85608529,17.79628837,14.74482101
0.77,13.85495147,17.79707984,14.7432222
0.772,13.85378309,17.7977711,14.74189714
0.774,13.85260581,17.79847871,14.74103656
0.776,13.85127994,17.79902577,14.74030997
0.778,13.8499333,17.79957124,14.73976478
0.78,13.84843614,17.80048222,14.73906692
0.782,13.846396,17.80167872,14.73848485
0.784,13.84434109,17.80297661,14.73813696
0.786,13.84215642,17.80388851,14.73799461
0.788,13.83989316,17.80487715,14.73757783
0.79,13.83765717,17.80591056,14.73732628
0.792,13.83547103,17.80689877,14.73712796
0.794,13.83370116,17.80796844,14.73689012
0.796,13.83207254,17.80933756,14.73641686
0.798,13.8303401,17.8107494,14.73605386
0.8,13.82855693,17.81205339,14.73603414
0.802,13.82693747,17.81354194,14.73631059
0.804,13.82531068,17.81476687,14.73662284
0.806,13.82355256,17.81582866,14.73708862
0.808,13.82189335,17.8167553,14.73750683
0.81,13.82062323,17.81771502,14.73768695
0.812,13.81925185,17.81876914,14.73823985
0.814,13.81778803,17.81965646,14.73877435
0.816,13.81640868,17.82056858,14.73962636
0.818,13.81506578,17.82141966,14.74024151
0.82,13.81391933,17.82226188,14.7408818
0.822,13.81290793,17.82297627,14.74202524
0.824,13.81156181,17.82319198,14.74318952
0.826,13.81024801,17.82348387,14.7446582
0.828,13.80912612,17.82330619,14.7464541
0.83,13.80799429,17.82321354,14.74822631
0.832,13.80707416,17.82318874,14.74994477
0.834,13.80653051,17.82285187,14.75184433
0.836,13.80598123,17.82266851,14.75407957
0.838,13.80532182,17.8223602,14.75637325
0.84,13.80489765,17.82171735,14.7584309
0.842,13.80450042,17.821056,14.76069049
0.844,13.80417259,17.82010248,14.76304017
0.846,13.80398966,17.8191157,14.76572364
0.848,13.80392519,17.81829024,14.76810597
0.85,13.80374962,17.81748302,14.77034708
0.852,13.80381666,17.81659344,14.77268303
0.854,13.80354938,17.81562361,14.77533407
0.856,13.8033615,17.8149047,14.77810904
0.858,13.80352598,17.81384764,14.78073875
0.86,13.80359019,17.81286005,14.78319942
0.862,13.80377541,17.81185572,14.78571492
0.864,13.80394659,17.8109193,14.78775826
0.866,13.8041904,17.81033641,14.7894137
0.868,13.80452858,17.80998551,14.79079524
0.87,13.80452403,17.80960483,14.79225022
0.872,13.80461838,17.80931186,14.79385047
0.874,13.80485689,17.80906346,14.79564111
0.876,13.80515275,17.80895711,14.79784179
0.878,13.80532837,17.80891533,14.79963507
0.88,13.80559712,17.80891255,14.80122587
0.882,13.80580121,17.80871214,14.80309972
0.884,13.80607598,17.8082722,14.80497284
0.886,13.80609876,17.8079459,14.80658857
0.888,13.80612738,17.80701362,14.80847223
0.89,13.80619562,17.80638273,14.81023779
0.892,13.80613681,17.805224,14.81180002
0.894,13.80626263,17.80374119,14.81321708
0.896,13.80598749,17.80222623,14.81447628
0.898,13.80596515,17.80050599,14.81592564
0.9,13.80644346,17.79847015,14.81737681
0.902,13.80684748,17.79654058,14.81841941
0.904,13.80719686,17.79461202,14.81923572
0.906,13.80756834,17.79258466,14.82006508
0.908,13.80774754,17.79059338,14.82076876
0.91,13.8075131,17.78861307,14.82120042
0.912,13.80724789,17.78640488,14.82173423
0.914,13.80720286,17.78405007,14.82223486
0.916,13.80718877,17.78172564,14.82255971
0.918,13.80704208,17.77909971,14.82297783
0.92,13.80688185,17.77664042,14.8233856
0.922,13.80639881,17.77405437,14.82383054
0.924,13.80596246,17.77138606,14.82408038
0.926,13.805537,17.76859247,14.82458283
0.928,13.80507808,17.76584423,14.82508225
0.93,13.80460387,17.76323251,14.82523204
0.932,13.80399918,17.76077533,14.82540112
0.934,13.80304165,17.7578032,14.82558471
0.936,13.80211136,17.75470629,14.82581855
0.938,13.80158657,17.75157494,14.82591456
0.94,13.80066827,17.74835622,14.8259807
0.942,13.79982248,17.74566941,14.82597559
0.944,13.79886224,17.74288732,14.82553969
0.946,13.79811956,17.74000374,14.82514454
0.948,13.79728652,17.73733444,14.8245094
0.95,13.79611446,17.73496372,14.82365026
0.952,13.79507281,17.73270952,14.82256117
0.954,13.79451702,17.7302478,14.82129031
0.956,13.79408227,17.72761945,14.82013414
0.958,13.79344287,17.72511912,14.81895131
0.96,13.7928746,17.72256902,14.81776134
