R0,up0,down0,R4,up4,down4
-10.52160682,0,0,-8.68764312,0,0
-10.35160682,0,0,-8.51064312,0,0
-10.18160682,0,0,-8.33364312,0,0
-10.01160682,0,0,-8.15664312,0,0
-9.84160682,0,0,-7.97964312,0,0
-9.67160682,0,0,-7.80364312,0,0
-9.50160682,0,0,-7.62664312,0,0
-9.33160682,0,0,-7.44964312,0,0
-9.16160682,0,0,-7.27264312,0,0
-8.99160682,0,0,-7.09564312,0,0
-8.82160682,0,0,-6.91864312,0,0
-8.65060682,0,0,-6.74164312,0,0
-8.48060682,0,0,-6.56564312,0,0
-8.31060682,0,0,-6.38864312,0,0
-8.14060682,0,0,-6.21164312,0,0
-7.97060682,0,0,-6.03464312,1.774E-09,-8.516E-09
-7.80060682,0,0,-5.85764312,0.0006541,-0.001707
-7.63060682,0,0,-5.68064312,0.6979,-1.014
-7.46060682,0,0,-5.50464312,7.668,-7.814
-7.29060682,3.604E-11,-7.902E-12,-5.32764312,10.91,-10.29
-7.12060682,0.00003606,-0.0000131,-5.15064312,9.703,-10.49
-6.95060682,0.1458,-0.0852,-4.97364312,23.33,-22.96
-6.78060682,4.696,-3.809,-4.79664312,32.48,-36.03
-6.61060682,9.18,-10.5,-4.61964312,63.34,-62.21
-6.44060682,10.71,-10.82,-4.44364312,70.05,-64.89
-6.27060682,22.72,-27.71,-4.26664312,81.17,-76.64
-6.10060682,35.87,-32.28,-4.08964312,101.2,-105.7
-5.93060682,50.56,-51.55,-3.91264312,112,-109.4
-5.76060682,64.06,-63.81,-3.73564312,112.6,-110.8
-5.59060682,82.17,-79.5,-3.55864312,113.8,-119.1
-5.42060682,92.08,-92.35,-3.38164312,125.5,-125.6
-5.25060682,103.7,-104.2,-3.20564312,132.3,-131.6
-5.08060682,110.8,-110.3,-3.02864312,120,-126
-4.91060682,116.4,-117.1,-2.85164312,120.1,-123.3
-4.74060682,126,-126.5,-2.67464312,135.4,-129
-4.57060682,132.4,-130.9,-2.49764312,128.5,-124.9
-4.40060682,123.8,-123.3,-2.32064312,119.4,-115.4
-4.23060682,123.3,-124.4,-2.14464312,113.7,-118.1
-4.06060682,124,-125.5,-1.96764312,104.3,-100.1
-3.89060682,125.7,-124.5,-1.79064312,90.32,-84.6
-3.72060682,120.2,-118.4,-1.61364312,85.45,-84.82
-3.55060682,114.5,-113.9,-1.43664312,93.86,-110.2
-3.38060682,102.3,-101.2,-1.25964312,89.13,-102.4
-3.21060682,84.85,-85.87,-1.08364312,75.69,-70.98
-3.04060682,74.58,-75.91,-0.90664312,49.31,-48.5
-2.87060682,60.22,-60.05,-0.72964312,34.1,-20.82
-2.70060682,48.58,-49.93,-0.55264312,16.71,-15.72
-2.53060682,21.86,-21.6,-0.37564312,2.224,-5.362
-2.36060682,15.97,-15.76,-0.19864312,0.006953,-0.1405
-2.19060682,7.819,-7.387,-0.02164312,8.644E-08,-0.00002239
-2.02060682,3.074,-3.207,0.15435688,2.511E-15,-9.067E-12
-1.85060682,4.541,-4.557,0.33135688,0,0
-1.68060682,0.8234,-0.6239,0.50835688,0,0
-1.51060682,0.001455,-0.0007675,0.68535688,0,0
-1.34060682,0.00002517,-4.913E-09,0.86235688,0,0
-1.17060682,0.1817,-0.0003112,1.03935688,2.137E-09,-6.278E-16
-1.00060682,13.23,-0.7269,1.21535688,0.000733,-3.637E-08
-0.83060682,61.42,-28.22,1.39235688,0.7078,-0.004091
-0.66060682,83.62,-78.74,1.56935688,5.818,-1.542
-0.49060682,60.85,-80.56,1.74635688,7.91,-9.935
-0.32060682,58.54,-88.55,1.92335688,14.46,-13.46
-0.15060682,50.64,-60.48,2.10035688,30.51,-21.79
0.01939318,24.4,-18.02,2.27635688,30.86,-45.9
0.18939318,24.73,-11.39,2.45335688,53.39,-66.18
0.35939318,85.54,-42.81,2.63035688,83.31,-75.63
0.52939318,109.6,-98.53,2.80735688,90.33,-80.6
0.69939318,82.95,-114.2,2.98435688,102.1,-98.89
0.86939318,94.73,-139,3.16135688,119.4,-112.4
1.03939318,103.1,-115.1,3.33835688,108.3,-118.4
1.20939318,108.1,-128.4,3.51435688,93.83,-106.5
1.37939318,123.9,-116.1,3.69135688,57.77,-68.63
1.54939318,107.2,-78.39,3.86835688,28.08,-16.74
1.71939318,30.21,-23.52,4.04535688,9.83,-0.2006
1.88939318,0.6127,-0.7152,4.22235688,0.348,-0.00001582
2.05939318,0.0001886,-0.0003158,4.39935688,0.0001216,-3.732E-12
2.22939318,3.449E-10,-7.526E-10,4.57535688,1.216E-10,0
2.39939318,0,0,4.75235688,0,0
2.56939318,0,0,4.92935688,0,0
2.73939318,0,0,5.10635688,0,0
2.90939318,0,0,5.28335688,0,0
3.07939318,0,0,5.46035688,0,0
3.24939318,0,0,5.63635688,0,0
3.41939318,0,0,5.81335688,0,0
3.58939318,0,0,5.99035688,0,0
3.75939318,0,0,6.16735688,0,0
3.92939318,0,0,6.34435688,0,0
