P300,V300,P400,V400,P500,V500,P600,V600,P700,V700,Vir300,Vir400,Vir500,Vir600,Vir700
19.15316848,202.7223415,24.72371727,214.7479674,36.58048722,201.5110653,37.97617091,199.1468359,42.87815198,207.9828452,26.16989231,28.48607784,36.59455124,42.44950255,44.56082681
20.57911759,194.0680846,29.75512381,194.7403793,33.70017616,195.3758461,40.17416703,196.5158775,50.44363404,196.0197371,28.12989128,33.30025047,38.43196944,43.34165855,48.79679678
24.20357025,192.1317939,35.76743184,193.0599145,35.37324256,191.3327796,45.76716223,193.0525501,58.33550204,193.4107907,28.6049923,33.773441,39.74041102,44.57198833,49.82565191
27.18855353,184.4215211,27.19261238,192.1800235,45.39507009,188.733638,52.93061753,186.6084311,46.66509595,192.8201408,30.64856414,34.02618002,40.62654922,47.04712961,50.06440195
24.78974214,179.480638,30.99716325,185.7305671,45.04302334,187.4147593,47.08633143,185.515872,52.89501145,188.6647494,32.10073642,35.99050867,41.09050116,47.4928448,51.80833322
29.47086143,175.7301586,38.20905656,174.8232429,42.14585135,171.165946,49.22653267,180.5758428,65.50179915,174.1708389,33.28756267,39.8298426,47.73731514,49.6122012,58.91989602
26.91173322,172.0108961,34.89342579,169.9705647,42.86960133,166.7678301,55.60708458,174.0616665,58.5072903,172.1064778,34.54418053,41.78783904,49.89191079,52.69567429,60.08672515
36.84708285,167.209513,47.34541751,165.744861,54.32098939,166.0570993,67.55593761,164.3113489,76.12754174,171.4775384,36.29646681,43.64093755,50.25707363,58.04675587,60.45100473
36.53028915,158.2738602,40.55482854,164.4263817,54.90172324,163.5451763,60.44337735,160.1472833,64.81039735,167.4750979,40.01266995,44.25002237,51.58819496,60.65396393,62.87122503
31.80111792,157.2392189,58.26428127,155.995021,51.79177998,154.222062,69.92716689,158.3249422,70.06949897,157.9835957,40.48660233,48.53998778,57.15094018,61.86489341,69.41406792
32.70159688,156.8579974,48.28817714,154.3973789,71.01963912,151.6087942,61.60425644,154.6871037,94.80938249,156.7159656,40.66373503,49.43852755,58.91217251,64.42182598,70.38603663
48.8583594,146.8582406,41.73548238,151.757592,55.38285416,150.5906057,68.28892789,148.8361548,82.18147459,154.0021836,45.85001185,50.99062943,59.62552896,68.97129982,72.55526182
45.94390753,146.3118927,51.70085524,144.7320976,72.43165061,145.7528875,81.5642627,148.7798678,75.26602535,152.4763435,46.16675647,55.58047027,63.24178294,69.01794714,73.83084321
39.08122223,143.1888035,60.06337787,142.767207,60.94269508,140.3218158,84.98136288,143.7799573,91.90016498,143.8042689,48.05349212,56.99878193,67.80539342,73.40699561,81.95547377
39.8323921,141.6264087,71.54262802,137.3418072,86.52776977,138.7732166,81.00237043,138.9234334,83.85433439,141.6640565,49.04875545,61.27128318,69.21751398,78.18819723,84.22161094
